"cid","cStruc","canonical_smiles","Isomeric_smiles","pubChemID","IUPAC","cFormula","InChiKey","MW","AlogP","Num_AromaticRings","Num_H_Acceptors","Num_H_Donors","Num_RotatableBonds","Num_Rings","isNatural","ExpVal","SensoryThr","toxicity_val","pubChemSid","AminoAcidSeq","comment","Cas_Number_Final","Human","Chicken","Mouse","Cat","related_pubChemID","more_identifiers","related_bitterCompounds","IUPharLink"
"7","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O","11069","(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol;sulfuric acid","C20H26N2O6S","AKYHKWQPZHDOBW-UHFFFAOYSA-N","422.5000","2.52040","2","6","3","4","5",,,"1","0","154368",,,"549-56-4","1","1","0","0","1065",,"14",
"9","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CC[NH+]3CC4C=C)O","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CC[NH+]3CC4C=C)O","COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@H]4CC[NH+]3C[C@@H]4C=C)O","11920271","(R)-[(2S,4R,5R)-5-ethenyl-1-azoniabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol","C20H25N2O2+","LOUPRKONTZGTKE-FOEVPDMQSA-O","325.4300","1.75610","2","3","2","4","5",,,"0","0",,,,,"1","0","0","0",,,"38,39,40",
"11","CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O","CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O","CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O","160467","5,6-dihydroxy-4-(3-methylbutanoyl)-2,6-bis(3-methylbut-2-enyl)cyclohex-4-ene-1,3-dione","C21H30O5","IEHWDPKFDXJDJL-UHFFFAOYSA-N","362.4700","3.62540","0","5","2","7","1",,,"0","0",,,,"469-02-3,54378-50-6,54378-86-8","1","0","0","0",,,"36",
"14","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O","23424040","(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol;sulfuric acid","C40H50N4O8S","RONWGALEIBILOG-UHFFFAOYSA-N","746.9300","5.69360","4","10","4","8","9",,,"0","0","197631",,,"6119-70-6","1","1","0","0","1065",,"7",
"15","C1=CC=C(C=C1)C=O","C1=CC=C(C=C1)C=O","C1=CC=C(C=C1)C=O","240","benzaldehyde","C7H6O","HUMNYLRZRPPJDN-UHFFFAOYSA-N","106.1200","1.49910","1","1","0","1","1",,,"0","1300",,,,"100-52-7","1","0","0","0",,,,
"16","[O-]S(=O)(=O)[O-].[Mg+2]","[O-]S(=O)(=O)[O-].[Mg+2]","[O-]S(=O)(=O)[O-].[Mg+2]","24083","magnesium;sulfate","MgO4S","CSNNHWWHGAXBCP-UHFFFAOYSA-L","120.3700","-1.71880","0","4","0","0","0",,,"1","0",,,,"7487-88-9","1","0","0","0",,,,
"32","CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O","CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O","CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O","68051","3,5-dihydroxy-2-(3-methylbutanoyl)-4,6,6-tris(3-methylbut-2-enyl)cyclohexa-2,4-dien-1-one","C26H38O4","LSDULPZJLTZEFD-UHFFFAOYSA-N","414.5900","6.86380","0","4","2","9","1",,"1","1","99.9",,,,"468-28-0","1","0","0","0",,,,
"33","CC=CC1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C","CC=CC1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C","C/C=C/C1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C","6850740","1-methoxy-4-[(E)-prop-1-enyl]benzene;1-methoxy-4-prop-2-enylbenzene;2,2,4-trimethylbicyclo[2.2.1]heptan-3-one","C30H40O3","OBHSPPLZGYJDIK-ITDJAWRYSA-N","448.6500","7.55370","2","3","0","5","4",,,"0","0",,,,,"1","0","0","0",,,,
"36","CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O","CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O","CC(C)CC(=O)C1=C(C(=C([C@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O","72625","(6S)-3,5,6-trihydroxy-2-(3-methylbutanoyl)-4,6-bis(3-methylbut-2-enyl)cyclohexa-2,4-dien-1-one","C21H30O5","VMSLCPKYRPDHLN-NRFANRHFSA-N","362.4700","4.25220","0","5","3","7","1",,"1","1","0",,,,"26472-41-3","1","0","1","0",,,"11",
"37","C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O","C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O","C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O","8400","2-hydroxy-1,2-diphenylethanone","C14H12O2","ISAOCJYIOMOJEB-UHFFFAOYSA-N","212.2500","2.60290","2","2","1","3","2","s","1","0","10000",,,,"119-53-9","1","0","0","0",,,,
